Manuscript,Canonical Story ID,Canonical Story Title,Folio Start,Column Start,Line Start,Folio End,Column End,Line End,Miracle Number,Number of Paintings,Incipit,Macomber Incipit,Confidence Score,Notes
AECE (HMML) 1,158,The prioress who became pregnant after sinning with a servant.,26b,,,26b,,,,,,FALSE,,
AECE (HMML) 1,159,"A nun sacristan elopes with a priest, but afterwards they repent.",48b,,,48b,,,,,,FALSE,,
AECE (HMML) 1,160,The bee keeper who consulted a sorceress to have more honey.,50b,,,50b,,,,,,FALSE,,
AECE (HMML) 1,161,The pious monk (or: Hebrew from Akhmim) whom Saint Mary made young.,7b,,,7b,,,,,,FALSE,,
AECE (HMML) 1,161,The pious monk (or: Hebrew from Akhmim) whom Saint Mary made young.,52a,,,52a,,,,,,FALSE,,
AECE (HMML) 1,162,The pious monk scribe who used to write Saint Mary's name in golden ink.,8a,,,8a,,,,,,FALSE,,
AECE (HMML) 1,162,The pious monk scribe who used to write Saint Mary's name in golden ink.,37a,,,37a,,,,,,FALSE,,
AECE (HMML) 1,162,The pious monk scribe who used to write Saint Mary's name in golden ink.,53a,,,53a,,,,,,FALSE,,
AECE (HMML) 1,163,"The Muslim whom Saint Mary told to receive baptism. Later, as Bishop of Rome, he cut off his hand because of a carnal thought.",8b,,,8b,,,,,,FALSE,,
AECE (HMML) 1,163,"The Muslim whom Saint Mary told to receive baptism. Later, as Bishop of Rome, he cut off his hand because of a carnal thought.",38a,,,38a,,,,,,FALSE,,
AECE (HMML) 1,166,"The prudent monk who suspected that the food that the monks were eating was harmful, but then saw Saint Mary making it tasty for them.",54a,,,54a,,,,,,FALSE,,
AECE (HMML) 1,168,The noblewoman who was persuaded by her spiritual father to give away her fine clothes.,55b,,,55b,,,,,,FALSE,,
AECE (HMML) 1,175,"Pachomius, the avaricious patriarch of Rome, who sold the chrism of the church.",84b,,,84b,,,,,,FALSE,,
AECE (HMML) 1,176,The avaricious priest who visited a dying man who loved bribes.,91a,,,91a,,,,,,FALSE,,
AECE (HMML) 1,178,The shepherd near the church of Saint Paul in Rome who was possessed by a demon.,81a,,,81a,,,,,,FALSE,,
AECE (HMML) 1,184,The pious mower of hay to whom the gatekeeper gave his daughter in marriage.,59b,,,59b,,,,,,FALSE,,
AECE (HMML) 1,187,The peasant who complained to Saint Mary because she did not reply to his Hail Mary.,7a,,,7a,,,,,,FALSE,,
AECE (HMML) 1,197,The Jew of Constantinople who threw an icon of Saint Mary into the latrine.,108b,,,108b,,,,,,FALSE,,
AECE (HMML) 1,203,"The knight who denied Christ at the bidding of Satan, in order to have fine clothes for a reception, but refused to deny Saint Mary.",89a,,,89a,,,,,,FALSE,,
AECE (HMML) 1,314,A priest becomes insane after his entire family dies of the plague.,,,,,,,,,,FALSE,,
AECE (HMML) 1,315,Saint Mary stays in the Temple.,68b,,,68b,,,,,,FALSE,,
AECE (HMML) 1,316-A,The conception and nativity of Saint Mary.,65b,,,65b,,,,,,FALSE,,
AECE (HMML) 1,316-A,The conception and nativity of Saint Mary.,100b,,,100b,,,,,,FALSE,,
AECE (HMML) 1,317,Saint Mary is espoused to Saint Joseph.,,,,,,,,,,FALSE,,
AECE (HMML) 1,327,The three pious priests and monks who wore fine clothes.,103b,,,103b,,,,,,FALSE,,
AECE (HMML) 1,344,A goat comes miraculously to be slaughtered.,122a,,,122a,,,,,,FALSE,,
AECE (HMML) 1,347,The nativity of Christ.,44a,,,44a,,,,,,FALSE,,
AECE (HMML) 1,348,The milk of Saint Mary that was poured on the ground in Egypt.,46a,,,46a,,,,,,FALSE,,
AECE (HMML) 1,356,Saint Mary appears to a priest of Däbrä Maryam in Sire.,121a,,,121a,,,,,,FALSE,,
AECE (HMML) 1,358,The icon of Saint Mary in a church of Alexandria that some Europeans tried to steal.,129a,,,129a,,,,,,FALSE,,
AECE (HMML) 1,363,Saint Mary appears to Theocleia and prepares her for martyrdom.,115a,,,115a,,,,,,FALSE,,
AECE (HMML) 1,366,A young monk is horrified when he has a sexual dream.,122b,,,122b,,,,,,FALSE,,
AECE (HMML) 1,367,"When a couple tries to marry their son whom they had dedicated to Saint Mary, he falls sick to the point of death.",126a,,,126a,,,,,,FALSE,,
AECE (HMML) 1,369,Saint Alexius lives for fifteen years near a church of Saint Mary in Armenia.,94a,,,94a,,,,,,FALSE,,
AECE (HMML) l,141-A,The bishop for whom Saint Mary tailored a new sackcloth sends a penitent to Santiago.,110a,,,110a,,,,,,FALSE,,
AECE (HMML) l,153,The young man who used to bring roses to the icon of Saint Mary.,13a,,,13a,,,,,,FALSE,,
C-Berlin (BS) 1,13,"The election of Patriarch Matthew I ,",,,,,,,,,,FALSE,,
C-Berlin (BS) 10,153,The young man who used to bring roses to the icon of Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 11,154,The two women who were attacked by robbers on their way to church.,,,,,,,,,,FALSE,,
C-Berlin (BS) 11,154,The two women who were attacked by robbers on their way to church.,,,,,,,,,,FALSE,,
C-Berlin (BS) 11,154,The two women who were attacked by robbers on their way to church.,,,,,,,,,,FALSE,,
C-Berlin (BS) 11,154,The two women who were attacked by robbers on their way to church.,,,,,,,,,,FALSE,,
C-Berlin (BS) 12,16,"A nun sacristan elopes with a priest, but afterwards they repent.",,,,,,,,,,FALSE,,
C-Berlin (BS) 13,46,The priest Thomas sees Saint Mary inscribing the names of those who praise her on the fiery chariot of gold.,,,,,,,,,,FALSE,,
C-Berlin (BS) 14,43,A thief is hanged upside down with the objects he stole from the church of Saint Mary in Sebkahad.,,,,,,,,,,FALSE,,
C-Berlin (BS) 15,48,"Tekta, who is childless, has a dream about ten generations ending with the moon and the sun.",,,,,,,,,,FALSE,,
C-Berlin (BS) 16,59,The woman who was crossing a river on a raft [mezlal].,,,,,,,,,,FALSE,,
C-Berlin (BS) 17,57,"Eusebius, whom Saint Mary took to Heaven.",,,,,,,,,,FALSE,,
C-Berlin (BS) 18,61,The vision of Saint John in the Apocalypse.,,,,,,,,,,FALSE,,
C-Berlin (BS) 19,68,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 2,187,The peasant who complained to Saint Mary because she did not reply to his Hail Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 20,82,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 21,83,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 22,99,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 23,103,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,1346fghjr;149gyuhs765b,FALSE,Low,
C-Berlin (BS) 24,112,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 25,158,The prioress who became pregnant after sinning with a servant.,,,,,,,,,,FALSE,,
C-Berlin (BS) 26,140,The sinful deacon whom his enemies could not kill until he had confessed himself to a priest.,,,,,,,,,,FALSE,,
C-Berlin (BS) 27,142,"The deacon's prayer that contained five times ""Rejoice!"" [tafassehiyat].",,,,,,,,,,FALSE,,
C-Berlin (BS) 28,7,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 29,125,The story of the cannibal from Qemer.,,,,,,,,,,FALSE,,
C-Berlin (BS) 3,161,The pious monk (or: Hebrew from Akhmim) whom Saint Mary made young.,,,,,,,,,,FALSE,,
C-Berlin (BS) 30,152,The widow who prayed to Saint Mary and saved her only son from death by hanging.,,,,,,,,,,FALSE,,
C-Berlin (BS) 31,148,The pregnant woman who was caught by the tide while going to the church of Saint Michael (Mont Saint Michel),,,,,,,,,,FALSE,,
C-Berlin (BS) 32,236,Saint Mary gives a thirsty dog water to drink from her shoe.,,,,,,,,,,FALSE,,
C-Berlin (BS) 33,400,The five dolours of Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 33,470,Synaxary entry for the 16th of Yakkatit: Saint Mary receives the Pact of Mercy.,,,,,,,,,,FALSE,,
C-Berlin (BS) 34,69,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 35,87,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 36,75,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 37,143,"Alexander, a Jew from Jerusalem, is delivered three days after he was swallowed up by a dragon.",,,,,,,,,,FALSE,,
C-Berlin (BS) 38,157,The pious official who was accused of embezzlement and of having an affair with the wife of his lord.,,,,,,,,,,FALSE,,
C-Berlin (BS) 39,90,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 4,162,The pious monk scribe who used to write Saint Mary's name in golden ink.,,,,,,,,,,FALSE,,
C-Berlin (BS) 40,185,The rich woman who went with the monks to the manbalis for prayer and there saw a vision of Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 41,106,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 42,197,The Jew of Constantinople who threw an icon of Saint Mary into the latrine.,,,,,,,,,,FALSE,,
C-Berlin (BS) 43,186,The robber whom a bishop was commanded tosbury after he was executed.,,,,,,,,,,FALSE,,
C-Berlin (BS) 44,180,The rich knight who was advised by an abbot to pray to Saint Mary to win the heart of the woman with whom he was in love.,,,,,,,,,,FALSE,,
C-Berlin (BS) 45,147,The Jewish boy who received Holy Communion with his Christian companions.,,,,,,,,,,FALSE,,
C-Berlin (BS) 46,120,The reopening of the church in Harat Zuwayla.,,,,,,,,,,FALSE,,
C-Berlin (BS) 47,135,The sinful deacon who was healed by a drop of Saint Mary's milk.,,,,,,,,,,FALSE,,
C-Berlin (BS) 48,40,"A man prays for his sick son before the icon of Saint Mary; she sends Saint Qirqos, then comes herself with Saint George to cure him.",,,,,,,,,,FALSE,,
C-Berlin (BS) 48,216,"Saint Mary appears to Sawla, the wife of the martyr, Giyorgis Haddis.",,,,,,,,,,FALSE,,
C-Berlin (BS) 49,203,"The knight who denied Christ at the bidding of Satan, in order to have fine clothes for a reception, but refused to deny Saint Mary.",,,,,,,,,,FALSE,,
C-Berlin (BS) 5,163,"The Muslim whom Saint Mary told to receive baptism. Later, as Bishop of Rome, he cut off his hand because of a carnal thought.",,,,,,,,,,FALSE,,
C-Berlin (BS) 50,156,The young novice whom Saint Mary encouraged to persevere in his vocation,,,,,,,,,,FALSE,,
C-Berlin (BS) 51,189,The mighty Goliath threatens to destroy the monastery of Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 52,24,The vision of Timothy of Alexandria: The Holy Family encounters brigands.,,,,,,,,,,FALSE,,
C-Berlin (BS) 53,4,"A man prays for his sick son before the icon of Saint Mary; she sends Saint Qirqos, then comes herself with Saint George to cure him.",,,,,,,,,,FALSE,,
C-Berlin (BS) 54,5,The prophecy of Ezra concerning the Ark of Zion (continued).,,,,,,,,,,FALSE,,
C-Berlin (BS) 55,6,Saladdin and his men try to force their way into the house where Saint Mary was born.,,,,,,,,,,FALSE,,
C-Berlin (BS) 56,8,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 57,50,The prophecy of Ezra concerning the Ark of Zion (continued).,,,,,,,,,,FALSE,,
C-Berlin (BS) 58,9,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 59,11,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 6,19,The mighty Goliath threatens to destroy the monastery of Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 60,20,"The monk who got himself appointed abbot of another monastery by the king, without the consent of the monks.",,,,,,,,,,FALSE,,
C-Berlin (BS) 61,134,The nominal Christian from Sidon who encountered a dragon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 62,101,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 63,114,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 64,201,A ship that was about to founder is saved when they pray to Saint Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 65,138,"Saint Mary commands a deacon to give Christian burial to a sinful deacon assassinated by his enemies; when they disinter him, a flower is found in his mouth.",,,,,,,,,,FALSE,,
C-Berlin (BS) 66,142,"The deacon's prayer that contained five times ""Rejoice!"" [tafassehiyat].",,,,,,,,,,FALSE,,
C-Berlin (BS) 68,141-A,The bishop for whom Saint Mary tailored a new sackcloth sends a penitent to Santiago.,,,,,,,,,,FALSE,,
C-Berlin (BS) 69,10,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 7,27,The events that occurred during the captivity of Abbots Samuˀel of Däbrä Qaləmon and John of Scete.,,,,,,,,,,FALSE,,
C-Berlin (BS) 70,207,The monk who saved the church of Saint Mary in Atrib by his prayers when its destruction had been ordered by the Caliph.,,,,,,,,,,FALSE,,
C-Berlin (BS) 71,35-A1,The Ethiopian pilgrim who was expelled from the Church (of the Resurrection) in Jerusalem during the Easter services.,,,,,,,,,,FALSE,,
C-Berlin (BS) 72,14,The repentant knight who could pray only the Hail Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 73,292,Saint Mary shows those assembled at Däbrä Metmaq a vision of Mohammad in Hell.,,,,,,,,,,FALSE,,
C-Berlin (BS) 74,144,The pilgrim to Santiago whom Satan persuaded to mutilate himself after falling into a sexual sin.,,,,,,,,,,FALSE,,
C-Berlin (BS) 75,17,The rich merchant from Constantinople who lost all his money and made the icon of Saint Mary his guarantor when he borrowed money from a usurer.,,,,,,,,,,FALSE,,
C-Berlin (BS) 76,18,The monk who has carried by the bretheren to church when he became too sick to walk.,,,,,,,,,,FALSE,,
C-Berlin (BS) 77,206,The nun whom Saint Mary admonished to recite the Hail Mary more attentively.,,,,,,,,,,FALSE,,
C-Berlin (BS) 78,643,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 79,155,"The sister of Emperor Constantine who prayed to know how Saint Mary bore the Word of God, but then failed to recognize her Son when he appeared to her in church.",,,,,,,,,,FALSE,,
C-Berlin (BS) 8,33,The Muslims who stole the furnishings of a church of Saint Mary located near the western boundary of Ethiopia and were struck by lightning.,,,,,,,,,,FALSE,,
C-Berlin (BS) 80,145,The priest who could only say the Mass of the Virgin Mary.,,,,,,,,,,FALSE,,
C-Berlin (BS) 81,76,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,,,,FALSE,,
C-Berlin (BS) 82,110,The arrival of the Holy Family in Sāmǝnon.,,,,,,,,,,FALSE,,
C-Berlin (BS) 83,171,The husband who broke his vow that he would live in continence with his wife.,,,,,,,,,,FALSE,,
C-Berlin (BS) 84,126,The man who was possessed by a spirit of epilepsy [nagargar] for 47 years.,,,,,,,,,,FALSE,,
C-Berlin (BS) 85,30,The Nativity; the adoration of the shepherds and the Magi.,,,,,,,,,,FALSE,,
C-Berlin (BS) 9,54,A barren woman conceives and bears salda Masqal.,,,,,,,,,,FALSE,,
C-Berlin (BS) 9,54,A barren woman conceives and bears salda Masqal.,,,,,,,,,,FALSE,,
C-Dublin (CBL) 915,384,The monk whose only good work was observing the fast of Saint Mary.,2b,,,2b,,,,,,FALSE,,
C-Dublin (CBL) 950,157,The pious official who was accused of embezzlement and of having an affair with the wife of his lord.,,,,,,,3,,,FALSE,,
C-Dublin (CBL) 950,470,Synaxary entry for the 16th of Yakkatit: Saint Mary receives the Pact of Mercy.,,,,,,,2,,,FALSE,,
C-Dublin (CBL) 951,7,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,28,,,FALSE,,
C-Dublin (CBL) 951,13,"The election of Patriarch Matthew I ,",,,,,,,1,,,FALSE,,
C-Dublin (CBL) 951,16,"A nun sacristan elopes with a priest, but afterwards they repent.",,,,,,,12,,,FALSE,,
C-Dublin (CBL) 951,19,The mighty Goliath threatens to destroy the monastery of Saint Mary.,,,,,,,6,,,FALSE,,
C-Dublin (CBL) 951,27,The events that occurred during the captivity of Abbots Samuˀel of Däbrä Qaləmon and John of Scete.,,,,,,,7,,,FALSE,,
C-Dublin (CBL) 951,33,The Muslims who stole the furnishings of a church of Saint Mary located near the western boundary of Ethiopia and were struck by lightning.,,,,,,,8,,,FALSE,,
C-Dublin (CBL) 951,43,A thief is hanged upside down with the objects he stole from the church of Saint Mary in Sebkahad.,,,,,,,14,,,FALSE,,
C-Dublin (CBL) 951,46,The priest Thomas sees Saint Mary inscribing the names of those who praise her on the fiery chariot of gold.,,,,,,,13,,,FALSE,,
C-Dublin (CBL) 951,48,"Tekta, who is childless, has a dream about ten generations ending with the moon and the sun.",,,,,,,15,,,FALSE,,
C-Dublin (CBL) 951,54,A barren woman conceives and bears salda Masqal.,,,,,,,9,,,FALSE,,
C-Dublin (CBL) 951,57,"Eusebius, whom Saint Mary took to Heaven.",,,,,,,17,,,FALSE,,
C-Dublin (CBL) 951,59,The woman who was crossing a river on a raft [mezlal].,,,,,,,16,,,FALSE,,
C-Dublin (CBL) 951,61,The vision of Saint John in the Apocalypse.,,,,,,,18,,,FALSE,,
C-Dublin (CBL) 951,68,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,19,,,FALSE,,
C-Dublin (CBL) 951,82,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,20,,,FALSE,,
C-Dublin (CBL) 951,83,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,21,,,FALSE,,
C-Dublin (CBL) 951,99,"When the Holy Family encounters brigands during their return journey from Egypt, Christ repairs the broken sword of Tetos.",,,,,,,22,,,FALSE,,
C-Dublin (CBL) 951,103,The arrival of the Holy Family in Sāmǝnon.,,,,,,,23,,,FALSE,,
C-Dublin (CBL) 951,112,The arrival of the Holy Family in Sāmǝnon.,,,,,,,24,,,FALSE,,
C-Dublin (CBL) 951,125,The story of the cannibal from Qemer.,,,,,,,29,,,FALSE,,
C-Dublin (CBL) 951,140,The sinful deacon whom his enemies could not kill until he had confessed himself to a priest.,,,,,,,26,,,FALSE,,
C-Dublin (CBL) 951,142,"The deacon's prayer that contained five times ""Rejoice!"" [tafassehiyat].",,,,,,,27,,,FALSE,,
C-Dublin (CBL) 951,148,The pregnant woman who was caught by the tide while going to the church of Saint Michael (Mont Saint Michel),,,,,,,31,,,FALSE,,
C-Dublin (CBL) 951,152,The widow who prayed to Saint Mary and saved her only son from death by hanging.,,,,,,,30,,,FALSE,,
C-Dublin (CBL) 951,153,The young man who used to bring roses to the icon of Saint Mary.,,,,,,,10,,,FALSE,,
C-Dublin (CBL) 951,154,The two women who were attacked by robbers on their way to church.,,,,,,,11,,,FALSE,,
C-Dublin (CBL) 951,158,The prioress who became pregnant after sinning with a servant.,,,,,,,25,,,FALSE,,
C-Dublin (CBL) 951,161,The pious monk (or: Hebrew from Akhmim) whom Saint Mary made young.,,,,,,,3,,,FALSE,,
C-Dublin (CBL) 951,162,The pious monk scribe who used to write Saint Mary's name in golden ink.,,,,,,,4,,,FALSE,,
C-Dublin (CBL) 951,163,"The Muslim whom Saint Mary told to receive baptism. Later, as Bishop of Rome, he cut off his hand because of a carnal thought.",,,,,,,5,,,FALSE,,
C-Dublin (CBL) 951,187,The peasant who complained to Saint Mary because she did not reply to his Hail Mary.,,,,,,,2,,,FALSE,,
C-Dublin (CBL) 951,187,The peasant who complained to Saint Mary because she did not reply to his Hail Mary.,,,,,,,2,,,FALSE,,
C-Dublin (CBL) 951,383,The man who would not eat before receiving Holy Communion.,,,,,,,32,,,FALSE,,
C-Dublin (CBL) 951,400,The five dolours of Saint Mary.,,,,,,,33,,,FALSE,,
C-Florence (BNCF) 1,11,The arrival of the Holy Family in Sāmǝnon.,,,,,,,12,,,FALSE,,
C-Florence (BNCF) 1,13,"The election of Patriarch Matthew I ,",,,,,,,8,,,FALSE,,
C-Florence (BNCF) 1,13,"The election of Patriarch Matthew I ,",,,,,,,8,,,FALSE,,
C-Florence (BNCF) 1,14,The repentant knight who could pray only the Hail Mary.,,,,,,,16,,,FALSE,,
C-Florence (BNCF) 1,16,"A nun sacristan elopes with a priest, but afterwards they repent.",,,,,,,13,,,FALSE,,
C-Florence (BNCF) 1,18,The monk who has carried by the bretheren to church when he became too sick to walk.,,,,,,,6,,,FALSE,,
C-Florence (BNCF) 1,19,The mighty Goliath threatens to destroy the monastery of Saint Mary.,,,,,,,14,,,FALSE,,
C-Florence (BNCF) 1,24,The vision of Timothy of Alexandria: The Holy Family encounters brigands.,,,,,,,2,,,FALSE,,
C-Florence (BNCF) 1,26,Saint Mary sets up the pillars in the church and makes a miraculous spring flow out at their base.,,,,,,,7,,,FALSE,,
C-Florence (BNCF) 1,44,The European who tried to steal the icon of Saint Mary from Däbrä Sedeneya.,,,,,,,3,,,FALSE,,
C-Florence (BNCF) 1,49,The beginning of the history of the Ark of Zion in the giving of the Ten Commandments.,,,,,,,5,,,FALSE,,
C-Florence (BNCF) 1,50,The prophecy of Ezra concerning the Ark of Zion (continued).,,,,,,,9,,,FALSE,,
C-Florence (BNCF) 1,52,In a vision Saint Mary is shown the Paradise of the Just.,,,,,,,10,,,FALSE,,
C-Florence (BNCF) 1,53,Saint Mary assists the emperors of Ethiopia.,,,,,,,11,,,FALSE,,
C-Florence (BNCF) 1,125,The story of the cannibal from Qemer.,,,,,,,15,,,FALSE,,
C-Florence (BNCF) 1,142,"The deacon's prayer that contained five times ""Rejoice!"" [tafassehiyat].",,,,,,,4,,,FALSE,,
